created_at,Sentiment_New,Price
2022-12-30,neutral,129.92999267578125
2022-12-30,neutral,129.92999267578125
2022-12-30,positive,129.92999267578125
2022-12-30,positive,129.92999267578125
2022-12-30,positive,129.92999267578125
2022-12-30,negative,129.92999267578125
2022-12-30,positive,129.92999267578125
2022-12-30,positive,129.92999267578125
2022-12-30,positive,129.92999267578125
2022-12-30,positive,129.92999267578125
2022-12-30,neutral,129.92999267578125
2022-12-29,negative,129.61000061035156
2022-12-29,neutral,129.61000061035156
2022-12-29,neutral,129.61000061035156
2022-12-29,negative,129.61000061035156
2022-12-29,neutral,129.61000061035156
2022-12-29,positive,129.61000061035156
2022-12-29,positive,129.61000061035156
2022-12-29,neutral,129.61000061035156
2022-12-29,neutral,129.61000061035156
2022-12-29,positive,129.61000061035156
2022-12-29,positive,129.61000061035156
2022-12-29,positive,129.61000061035156
2022-12-29,negative,129.61000061035156
2022-12-29,negative,129.61000061035156
2022-11-14,neutral,148.27999877929688
2022-11-14,positive,148.27999877929688
2022-11-14,positive,148.27999877929688
2022-11-14,positive,148.27999877929688
2022-11-14,neutral,148.27999877929688
2022-11-14,neutral,148.27999877929688
2022-11-14,negative,148.27999877929688
2022-11-14,neutral,148.27999877929688
2022-11-14,neutral,148.27999877929688
2022-11-14,positive,148.27999877929688
2022-11-14,neutral,148.27999877929688
2022-11-14,negative,148.27999877929688
2022-11-14,negative,148.27999877929688
2022-11-14,negative,148.27999877929688
2022-11-14,positive,148.27999877929688
2022-11-14,negative,148.27999877929688
2022-11-14,positive,148.27999877929688
2022-11-14,positive,148.27999877929688
2022-11-14,neutral,148.27999877929688
2022-11-08,positive,139.5
2022-11-08,neutral,139.5
2022-11-08,neutral,139.5
2022-11-08,neutral,139.5
2022-11-08,positive,139.5
2022-11-08,negative,139.5
2022-11-08,negative,139.5
2022-11-08,neutral,139.5
2022-11-08,negative,139.5
2022-11-08,neutral,139.5
2022-11-08,neutral,139.5
2022-11-08,neutral,139.5
2022-11-08,neutral,139.5
2022-11-08,positive,139.5
2022-11-08,positive,139.5
2022-11-08,neutral,139.5
2022-12-28,positive,126.04000091552734
2022-12-28,neutral,126.04000091552734
2022-12-28,neutral,126.04000091552734
2022-12-28,positive,126.04000091552734
2022-12-28,positive,126.04000091552734
2022-12-28,negative,126.04000091552734
2022-12-28,positive,126.04000091552734
2022-12-28,negative,126.04000091552734
2022-12-28,negative,126.04000091552734
2022-12-28,negative,126.04000091552734
2022-12-28,positive,126.04000091552734
2022-12-28,neutral,126.04000091552734
2022-12-27,neutral,130.02999877929688
2022-12-27,negative,130.02999877929688
2022-12-27,neutral,130.02999877929688
2022-12-27,neutral,130.02999877929688
2022-12-27,neutral,130.02999877929688
2022-12-27,neutral,130.02999877929688
2022-12-27,positive,130.02999877929688
2022-12-27,negative,130.02999877929688
2022-12-27,positive,130.02999877929688
2022-12-27,neutral,130.02999877929688
2022-12-27,negative,130.02999877929688
2022-12-27,neutral,130.02999877929688
2022-12-27,negative,130.02999877929688
2022-12-27,positive,130.02999877929688
2022-12-27,negative,130.02999877929688
2022-12-27,neutral,130.02999877929688
2022-12-27,positive,130.02999877929688
2022-12-27,negative,130.02999877929688
2022-12-23,neutral,131.86000061035156
2022-12-23,neutral,131.86000061035156
2022-12-23,negative,131.86000061035156
2022-12-23,neutral,131.86000061035156
2022-12-23,negative,131.86000061035156
2022-12-23,neutral,131.86000061035156
2022-12-22,negative,132.22999572753906
2022-12-22,neutral,132.22999572753906
2022-12-22,negative,132.22999572753906
2022-12-22,neutral,132.22999572753906
2022-12-22,neutral,132.22999572753906
2022-12-22,neutral,132.22999572753906
2022-12-22,neutral,132.22999572753906
2022-12-22,neutral,132.22999572753906
2022-12-22,positive,132.22999572753906
2022-12-22,positive,132.22999572753906
2022-12-22,positive,132.22999572753906
2022-12-22,negative,132.22999572753906
2022-12-22,positive,132.22999572753906
2022-12-22,positive,132.22999572753906
2022-12-22,neutral,132.22999572753906
2022-12-21,neutral,135.4499969482422
2022-12-21,neutral,135.4499969482422
2022-12-21,neutral,135.4499969482422
2022-12-21,neutral,135.4499969482422
2022-12-21,neutral,135.4499969482422
2022-12-21,negative,135.4499969482422
2022-12-21,positive,135.4499969482422
2022-12-21,positive,135.4499969482422
2022-12-21,negative,135.4499969482422
2022-12-21,positive,135.4499969482422
2022-12-20,neutral,132.3000030517578
2022-12-20,neutral,132.3000030517578
2022-12-20,neutral,132.3000030517578
2022-12-20,neutral,132.3000030517578
2022-12-20,negative,132.3000030517578
2022-12-20,neutral,132.3000030517578
2022-12-20,negative,132.3000030517578
2022-12-20,negative,132.3000030517578
2022-12-20,neutral,132.3000030517578
2022-12-20,negative,132.3000030517578
2022-12-20,neutral,132.3000030517578
2022-12-20,negative,132.3000030517578
2022-12-20,neutral,132.3000030517578
2022-12-19,negative,132.3699951171875
2022-12-19,neutral,132.3699951171875
2022-12-19,positive,132.3699951171875
2022-12-19,neutral,132.3699951171875
2022-12-19,positive,132.3699951171875
2022-12-19,negative,132.3699951171875
2022-12-19,positive,132.3699951171875
2022-12-19,negative,132.3699951171875
2022-12-19,neutral,132.3699951171875
2022-12-19,negative,132.3699951171875
2022-12-19,positive,132.3699951171875
2022-12-19,negative,132.3699951171875
2022-12-19,negative,132.3699951171875
2022-12-19,negative,132.3699951171875
2022-12-16,neutral,134.50999450683594
2022-12-16,negative,134.50999450683594
2022-12-16,neutral,134.50999450683594
2022-12-16,negative,134.50999450683594
2022-12-16,neutral,134.50999450683594
2022-12-16,positive,134.50999450683594
